Site_Month,Extreme,Normal,Other,Site_ID,YearMonth,Month,n_all_valid_hours,Macro_Mean_SiteMonth_AllValid,Macro_SD_SiteMonth_AllValid,Macro_Mean_SiteMonth_ExtremeNormalOnly,Macro_Mean_Diff_ExtremeNormal_minus_AllValid
95332234_2025-05,0,360,384,95332234,2025-05,5,744,21.289642682639503,3.340684288841704,21.1073912302653,-0.18225145237420293
95332234_2025-06,0,72,648,95332234,2025-06,6,720,24.61285228729248,2.752241596379752,22.732749515109592,-1.8801027721828873
95332234_2025-07,0,288,456,95332234,2025-07,7,744,25.42427868484169,2.842473161918371,25.362304475572373,-0.06197420926931585
95332234_2025-08,0,336,408,95332234,2025-08,8,744,24.91250374496624,2.934707763068127,24.691852660406205,-0.22065108456003557
95332234_2025-09,0,600,120,95332234,2025-09,9,720,24.909412892659507,2.868265614861915,24.834274724324544,-0.07513816833496278
95332234_2025-10,0,384,360,95332234,2025-10,10,744,22.30136466026306,5.1315722731834414,24.059147025148075,1.7577823648850135
95332234_2025-11,0,312,408,95332234,2025-11,11,720,14.610776560174095,5.376686916489648,17.05320020822378,2.4424236480496866
95332234_2025-12,0,672,64,95332234,2025-12,12,736,13.216062269416517,4.850205617185313,13.013950294992398,-0.20211197442411866
95332235_2025-02,24,48,600,95332235,2025-02,2,672,11.05356024600388,4.919426776966973,8.310775525040096,-2.7427847209637832
95332235_2025-03,0,96,648,95332235,2025-03,3,744,14.978983305474763,6.755093782651163,7.688280522823334,-7.2907027826514295
95332235_2025-04,240,240,240,95332235,2025-04,4,720,20.069768920871947,4.694564299212195,19.779227629303932,-0.2905412915680152
95332235_2025-05,0,600,144,95332235,2025-05,5,744,22.39091903932633,3.35592872372749,22.67879399617513,0.2878749568487997
95332235_2025-06,0,384,336,95332235,2025-06,6,720,25.75391399860382,2.7992736979624446,25.073293487230938,-0.6806205113728829
95332235_2025-07,0,240,504,95332235,2025-07,7,744,26.66814358003678,2.8676421907366123,26.392645064989726,-0.2754985150470546
95332235_2025-08,0,672,72,95332235,2025-08,8,744,26.25002155252682,2.9093323754920988,26.13851192167827,-0.11150963084855192
