Macro_Within,SPI_Status,Predicted_Micro_Temperature
-6.964506329822343,Extreme,17.007886687785202
-6.786612531758839,Extreme,17.13837000673051
-6.608718733695334,Extreme,17.26885332567582
-6.430824935631831,Extreme,17.39933664462113
-6.252931137568327,Extreme,17.529819963566442
-6.0750373395048225,Extreme,17.660303282511755
-5.897143541441318,Extreme,17.790786601457068
-5.719249743377814,Extreme,17.921269920402374
-5.54135594531431,Extreme,18.051753239347686
-5.3634621472508055,Extreme,18.182236558293
-5.185568349187301,Extreme,18.312719877238308
-5.007674551123798,Extreme,18.443203196183617
-4.829780753060294,Extreme,18.57368651512893
-4.651886954996789,Extreme,18.70416983407424
-4.473993156933285,Extreme,18.834653153019552
-4.296099358869781,Extreme,18.96513647196486
-4.118205560806277,Extreme,19.09561979091017
-3.9403117627427724,Extreme,19.226103109855483
-3.762417964679269,Extreme,19.356586428800796
-3.584524166615765,Extreme,19.487069747746105
-3.4066303685522605,Extreme,19.617553066691414
-3.2287365704887563,Extreme,19.748036385636727
-3.050842772425252,Extreme,19.878519704582036
-2.872948974361748,Extreme,20.00900302352735
-2.6950551762982444,Extreme,20.139486342472658
-2.51716137823474,Extreme,20.269969661417967
-2.339267580171236,Extreme,20.40045298036328
-2.1613737821077326,Extreme,20.530936299308593
-1.9834799840442283,Extreme,20.661419618253902
-1.805586185980724,Extreme,20.791902937199215
-1.6276923879172198,Extreme,20.92238625614452
-1.4497985898537156,Extreme,21.052869575089836
-1.2719047917902113,Extreme,21.183352894035146
-1.094010993726707,Extreme,21.313836212980455
-0.9161171956632028,Extreme,21.444319531925768
-0.7382233975996986,Extreme,21.57480285087108
-0.5603295995361943,Extreme,21.70528616981639
-0.3824358014726901,Extreme,21.8357694887617
-0.20454200340918582,Extreme,21.96625280770701
-0.026648205345681575,Extreme,22.09673612665232
0.1512455927178209,Extreme,22.227219445597633
0.32913939078132515,Extreme,22.357702764542942
0.5070331888448294,Extreme,22.48818608348825
0.6849269869083336,Extreme,22.618669402433568
0.8628207849718379,Extreme,22.749152721378874
1.0407145830353421,Extreme,22.879636040324186
1.2186083810988464,Extreme,23.010119359269495
1.3965021791623506,Extreme,23.140602678214805
1.574395977225855,Extreme,23.27108599716012
1.7522897752893591,Extreme,23.401569316105427
1.9301835733528634,Extreme,23.53205263505074
2.1080773714163676,Extreme,23.66253595399605
2.285971169479872,Extreme,23.79301927294136
2.4638649675433744,Extreme,23.923502591886667
2.6417587656068786,Extreme,24.05398591083198
2.819652563670383,Extreme,24.184469229777292
2.997546361733887,Extreme,24.3149525487226
3.1754401597973914,Extreme,24.44543586766791
3.3533339578608956,Extreme,24.575919186613227
3.5312277559244,Extreme,24.706402505558536
3.709121553987904,Extreme,24.836885824503845
3.8870153520514084,Extreme,24.967369143449158
4.064909150114913,Extreme,25.097852462394464
4.242802948178417,Extreme,25.22833578133978
4.420696746241921,Extreme,25.35881910028509
4.598590544305425,Extreme,25.489302419230402
4.776484342368928,Extreme,25.61978573817571
4.954378140432432,Extreme,25.750269057121024
5.132271938495936,Extreme,25.880752376066333
5.310165736559441,Extreme,26.011235695011642
5.488059534622945,Extreme,26.141719013956955
5.665953332686449,Extreme,26.272202332902264
5.8438471307499515,Extreme,26.40268565184757
6.021740928813456,Extreme,26.533168970792886
6.19963472687696,Extreme,26.663652289738195
6.377528524940464,Extreme,26.794135608683504
6.5554223230039685,Extreme,26.924618927628817
6.733316121067473,Extreme,27.05510224657413
6.911209919130977,Extreme,27.18558556551944
7.089103717194481,Extreme,27.316068884464748
7.2669975152579855,Extreme,27.446552203410064
7.44489131332149,Extreme,27.577035522355374
