Target_Class,Target_Class_CN,Site_Month,Site_ID,YearMonth,Month,n_all_valid_hours,Macro_Mean_SiteMonth_AllValid,Macro_SD_SiteMonth_AllValid,Target_n_hours,Normal_n_hours_for_pair,Target_Macro_SD,Normal_Macro_SD_for_pair,Pass_Hours,Pass_Target_Macro_SD,Pass_Normal_Macro_SD,Pass_Hours_Plus_Macro_SD
Severe,重度干旱,95332224_2025-06,95332224,2025-06,6,720,25.121253395080565,3.022800038116203,24,456,4.0105049868512275,2.7922773060205124,False,True,True,False
Severe,重度干旱,95332224_2025-07,95332224,2025-07,7,744,25.742911018351073,3.050828618799644,0,312,,2.447797275495154,False,False,True,False
Severe,重度干旱,95332224_2025-08,95332224,2025-08,8,744,26.04416638035928,3.093001018010439,24,144,3.0045701252126884,3.1481990598480705,False,True,True,False
Severe,重度干旱,95332224_2025-09,95332224,2025-09,9,720,25.771150554551017,3.1569049295734066,0,432,,3.0962963089238045,False,False,True,False
Severe,重度干旱,95332224_2025-10,95332224,2025-10,10,744,22.417194892001408,5.5005150340893145,0,384,,3.723026925832006,False,False,True,False
Severe,重度干旱,95332224_2025-11,95332224,2025-11,11,720,14.295846013890372,4.828265375068281,0,600,,5.18694804712043,False,False,True,False
Severe,重度干旱,95332224_2025-12,95332224,2025-12,12,736,12.242004852579987,4.479110857700842,24,240,3.5656133500752483,4.007347461479877,False,True,True,False
Severe,重度干旱,95332225_2025-01,95332225,2025-01,1,288,9.422610070375312,5.06916648484951,48,0,2.6374772208461628,,False,True,False,False
Severe,重度干旱,95332225_2025-02,95332225,2025-02,2,672,8.68519554209585,4.032448654532329,0,168,,2.8458473331382956,False,False,True,False
Severe,重度干旱,95332225_2025-03,95332225,2025-03,3,744,13.491959487238239,6.673134722786702,0,240,,5.560572678958015,False,False,True,False
Severe,重度干旱,95332225_2025-04,95332225,2025-04,4,720,18.303115812937417,4.650064782258328,0,456,,4.229681000756073,False,False,True,False
Severe,重度干旱,95332225_2025-05,95332225,2025-05,5,744,21.354248067384127,3.4560903405130885,0,504,,3.18006163874718,False,False,True,False
Severe,重度干旱,95332225_2025-06,95332225,2025-06,6,720,25.332890767521327,3.0373881424307965,0,144,,3.034201075130493,False,False,True,False
Severe,重度干旱,95332225_2025-07,95332225,2025-07,7,744,26.33373918584598,3.052448716946776,0,456,,2.610408803856216,False,False,True,False
Severe,重度干旱,95332225_2025-08,95332225,2025-08,8,744,27.03753246799592,3.20327196440715,264,264,3.1907327484580175,3.0839721633084176,True,True,True,True
