Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Distance_to_Grid_km,Extraction_Method,Annual_Min_SPI,Annual_Max_SPI,Drought_Days,Total_Severity,First_Onset,Event_Count_Total,Event_Count_Light,Event_Count_Moderate,Event_Count_Severe,Event_Count_Extreme,Max_Event_Duration,Max_Event_Severity,Worst_Event_Min_SPI,Worst_Event_Level
95332233.0,117.467793,25.89459269,117.47500610351562,25.875,2.295,Nearest,-2.105762243270874,1.1488109827041626,133,137.72925931215286,2025-01-01,7,0,3,3,1,29,26.469120144844055,-2.105762243270874,Extreme
95332233.0,117.467793,25.89459269,117.47500610351562,25.875,2.295,Bilinear,-2.1166150538543986,1.1708230152641257,138,137.92099037412896,2025-01-01,9,2,4,2,1,24,25.85017336216207,-2.1166150538543986,Extreme
95332233.0,117.467793,25.89459269,117.47500610351562,25.875,2.295,Mean3x3,-2.020733184284634,1.2391032377878826,132,134.13640108456212,2025-01-01,9,1,5,2,1,23,25.706594059864678,-2.020733184284634,Extreme
95332234.0,116.77256,25.47449,116.77499389648438,25.474998474121094,0.2508,Nearest,-1.8815208673477173,1.4397929906845093,156,143.14144724607468,2025-01-01,10,4,2,4,0,29,28.363433122634888,-1.8815208673477173,Severe
95332234.0,116.77256,25.47449,116.77499389648438,25.474998474121094,0.2508,Bilinear,-1.8780726161503796,1.4414044669572443,154,141.5432741674959,2025-01-01,11,4,2,5,0,29,28.276424396004707,-1.8780726161503796,Severe
95332234.0,116.77256,25.47449,116.77499389648438,25.474998474121094,0.2508,Mean3x3,-1.8314825693766277,1.4740912119547527,139,130.45027733676963,2025-01-01,8,2,2,4,0,25,25.327500849962234,-1.8314825693766277,Severe
95332235.0,116.29942,25.47995,116.27499389648438,25.474998474121094,2.513,Nearest,-2.4802095890045166,2.0174758434295654,132,138.403495490551,2025-01-01,6,1,1,2,2,26,31.88193041086197,-2.4802095890045166,Extreme
95332235.0,116.29942,25.47995,116.27499389648438,25.474998474121094,2.513,Bilinear,-2.331238343527535,1.948956102950047,130,135.958877413608,2025-01-01,6,0,2,2,2,25,31.51133672165071,-2.331238343527535,Extreme
95332235.0,116.29942,25.47995,116.27499389648438,25.474998474121094,2.513,Mean3x3,-2.051617463429769,1.6941753493414984,125,133.4456189175447,2025-01-01,6,0,2,2,2,25,31.26002268658744,-2.051617463429769,Extreme
95332236.0,116.68835,25.66767,116.67498779296875,25.67499542236328,1.5674,Nearest,-2.785902738571167,2.3068723678588867,124,136.56943380832672,2025-01-01,5,0,1,2,2,31,35.36875170469284,-2.785902738571167,Extreme
95332236.0,116.68835,25.66767,116.67498779296875,25.67499542236328,1.5674,Bilinear,-2.696176668219713,2.2306202301042193,128,138.94948362992804,2025-01-01,5,0,1,2,2,31,35.070488765984884,-2.696176668219713,Extreme
95332236.0,116.68835,25.66767,116.67498779296875,25.67499542236328,1.5674,Mean3x3,-2.664383543862237,2.2031958368089466,121,135.61321913864876,2025-01-01,5,0,1,2,2,30,34.580648465289016,-2.664383543862237,Extreme
95332237.0,117.00125,25.69326,117.02499389648438,25.67499542236328,3.1283,Nearest,-1.9866604804992676,1.4376500844955444,142,135.5466532111168,2025-01-01,9,2,4,3,0,23,26.365715622901917,-1.9866604804992676,Severe
95332237.0,117.00125,25.69326,117.02499389648438,25.67499542236328,3.1283,Bilinear,-1.9624138947516605,1.548587992370966,136,137.53818830054468,2025-01-01,7,1,2,4,0,25,28.791776279280157,-1.9624138947516605,Severe
95332237.0,117.00125,25.69326,117.02499389648438,25.67499542236328,3.1283,Mean3x3,-1.9489252832200792,1.3609623511632283,144,139.08424610292747,2025-01-01,8,1,3,4,0,28,30.362500061591465,-1.9489252832200792,Severe
95332238.0,117.2348565,25.72348088,117.22500610351562,25.724998474121094,1.0011,Nearest,-2.096324920654297,1.4766418933868408,123,124.05126714706421,2025-01-01,6,0,3,2,1,36,36.20518797636032,-2.096324920654297,Extreme
95332238.0,117.2348565,25.72348088,117.22500610351562,25.724998474121094,1.0011,Bilinear,-2.0994582978783347,1.4555465311327334,122,122.92250633983117,2025-01-01,6,0,3,2,1,36,35.68317955812407,-2.0994582978783347,Extreme
95332238.0,117.2348565,25.72348088,117.22500610351562,25.724998474121094,1.0011,Mean3x3,-2.2248768276638455,1.3891774151060317,122,125.49086967441771,2025-01-01,7,0,3,3,1,27,28.071289986371998,-2.2248768276638455,Extreme
95332239.0,117.6462713,26.197705,117.625,26.17499542236328,3.2987,Nearest,-2.1325321197509766,1.3215360641479492,144,152.01974987983704,2025-01-01,8,2,2,3,1,32,37.720304906368256,-2.1325321197509766,Extreme
95332239.0,117.6462713,26.197705,117.625,26.17499542236328,3.2987,Bilinear,-2.128463036119536,1.334796927856807,147,153.86924085836415,2025-01-01,9,1,4,3,1,32,37.53114371258865,-2.128463036119536,Extreme
