Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Event_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Max_SPI_Date,Severity,Drought_Level,Drought_Level_Code,Edge_Truncated,Drought_Extent_Peak(%),Drought_Extent_Union(%),Station_Event_Count_Total,Station_Event_Count_Light,Station_Event_Count_Moderate,Station_Event_Count_Severe,Station_Event_Count_Extreme
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,2,2025-02-08,2025-02-21,14,-0.8832201361656189,-0.5954778790473938,2025-02-19,2025-02-08,9.600279092788696,Light,1,False,99.21,100.0,9,3,2,4,0
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,3,2025-02-23,2025-03-02,8,-1.1418273448944092,-0.6507255434989929,2025-03-01,2025-02-23,7.7368446588516235,Moderate,2,False,96.49,100.0,9,3,2,4,0
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,4,2025-04-02,2025-04-08,7,-1.337850570678711,-0.8473034501075745,2025-04-02,2025-04-07,7.595399856567383,Moderate,2,False,63.95,94.04,9,3,2,4,0
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,5,2025-04-13,2025-04-18,6,-0.7823346853256226,-0.6376651525497437,2025-04-13,2025-04-17,4.18330979347229,Light,1,False,92.65,93.49,9,3,2,4,0
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,6,2025-06-18,2025-07-12,25,-1.743588924407959,-0.5176485776901245,2025-06-27,2025-06-20,25.719527900218964,Severe,3,False,97.53,99.43,9,3,2,4,0
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,7,2025-08-15,2025-09-12,29,-1.6291897296905518,-0.5200998783111572,2025-08-27,2025-08-15,30.679704070091248,Severe,3,False,71.89,98.39,9,3,2,4,0
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,8,2025-12-10,2025-12-19,10,-0.9572739005088806,-0.6344360113143921,2025-12-10,2025-12-18,7.670641839504242,Light,1,False,38.04,68.42,9,3,2,4,0
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,9,2025-12-22,2025-12-31,10,-1.5551509857177734,-0.5387606620788574,2025-12-30,2025-12-22,8.206154108047485,Severe,3,True,87.49,91.16,9,3,2,4,0
95332224.0,117.4623274,26.53346358,117.47500610351562,26.524993896484375,1,2025-01-01,2025-02-21,52,-1.5576733350753784,-0.5888458490371704,2025-01-31,2025-02-06,53.34167152643204,Severe,3,True,98.8,100.0,8,2,2,4,0
95332224.0,117.4623274,26.53346358,117.47500610351562,26.524993896484375,2,2025-02-23,2025-03-02,8,-1.238792896270752,-0.6624208688735962,2025-03-01,2025-02-23,8.11461317539215,Moderate,2,False,96.49,100.0,8,2,2,4,0
95332224.0,117.4623274,26.53346358,117.47500610351562,26.524993896484375,3,2025-04-03,2025-04-08,6,-1.17630934715271,-0.6457729339599609,2025-04-03,2025-04-07,5.147591412067413,Moderate,2,False,92.75,92.88,8,2,2,4,0
95332224.0,117.4623274,26.53346358,117.47500610351562,26.524993896484375,4,2025-04-13,2025-04-18,6,-0.7634198665618896,-0.6767705678939819,2025-04-17,2025-04-13,4.411282777786255,Light,1,False,85.11,93.49,8,2,2,4,0
95332224.0,117.4623274,26.53346358,117.47500610351562,26.524993896484375,5,2025-06-21,2025-07-12,22,-1.565237283706665,-0.6305559277534485,2025-06-27,2025-07-12,24.631660521030426,Severe,3,False,97.53,99.43,8,2,2,4,0
95332224.0,117.4623274,26.53346358,117.47500610351562,26.524993896484375,6,2025-08-15,2025-08-22,8,-0.8505577445030212,-0.5239807367324829,2025-08-16,2025-08-22,5.718534767627716,Light,1,False,32.46,46.79,8,2,2,4,0
95332224.0,117.4623274,26.53346358,117.47500610351562,26.524993896484375,7,2025-08-25,2025-09-12,19,-1.5297867059707642,-0.5927960276603699,2025-08-27,2025-09-12,21.86993056535721,Severe,3,False,71.89,98.39,8,2,2,4,0
95332224.0,117.4623274,26.53346358,117.47500610351562,26.524993896484375,8,2025-12-11,2025-12-31,21,-1.5555731058120728,-0.7016881704330444,2025-12-30,2025-12-21,21.027605533599854,Severe,3,True,87.49,92.79,8,2,2,4,0
95332225.0,117.5158023,27.14893502,117.52499389648438,27.125,1,2025-01-01,2025-02-05,36,-1.8031079769134521,-0.7100303769111633,2025-01-07,2025-02-05,48.9773890376091,Severe,3,True,99.64,100.0,8,3,3,1,1
95332225.0,117.5158023,27.14893502,117.52499389648438,27.125,2,2025-02-09,2025-02-19,11,-0.6715368628501892,-0.5073302388191223,2025-02-19,2025-02-15,6.483463764190674,Light,1,False,99.21,100.0,8,3,3,1,1
