Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Distance_to_Grid_km,Extraction_Method,Event_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Max_SPI_Date,Severity,Drought_Level,Drought_Level_Code,Edge_Truncated
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Mean3x3,6,2025-06-18,2025-07-10,23,-2.1667797697914972,-0.5217791895071665,2025-06-28,2025-06-19,28.55293341146575,Extreme,4,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Mean3x3,7,2025-08-27,2025-09-09,14,-0.9013213250372145,-0.5039137800534567,2025-08-31,2025-08-27,8.918642007642323,Light,1,False
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Mean3x3,8,2025-11-18,2025-11-29,12,-0.6417956219779121,-0.513121548626158,2025-11-29,2025-11-27,6.7874359240134545,Light,1,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Nearest,1,2025-01-01,2025-01-10,10,-1.2354573011398315,-0.6349194645881653,2025-01-01,2025-01-09,10.444301962852478,Moderate,2,True
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Nearest,2,2025-01-17,2025-02-05,20,-1.5705931186676025,-0.6912316083908081,2025-01-25,2025-01-17,20.888846337795258,Severe,3,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Nearest,3,2025-02-08,2025-03-02,23,-2.037058115005493,-0.6167376637458801,2025-02-25,2025-02-08,27.87490612268448,Extreme,4,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Nearest,4,2025-04-02,2025-04-21,20,-2.0098748207092285,-0.78945392370224,2025-04-02,2025-04-19,32.95291793346405,Extreme,4,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Nearest,5,2025-05-22,2025-05-27,6,-0.8346952795982361,-0.6682907342910767,2025-05-22,2025-05-27,4.306433260440826,Light,1,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Nearest,6,2025-07-12,2025-07-20,9,-0.9328961968421936,-0.5383002758026123,2025-07-19,2025-07-15,6.402839124202728,Light,1,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Nearest,7,2025-08-29,2025-09-09,12,-1.276241421699524,-0.5898712277412415,2025-09-01,2025-09-08,9.245888710021973,Moderate,2,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Bilinear,1,2025-01-01,2025-01-10,10,-1.1853148305010484,-0.5402247162329845,2025-01-01,2025-01-10,8.974661746036837,Moderate,2,True
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Bilinear,2,2025-01-17,2025-02-05,20,-1.7054835165748763,-0.662062548237608,2025-02-05,2025-01-23,21.10284973486862,Severe,3,False
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Bilinear,3,2025-02-08,2025-03-02,23,-1.9648263591411759,-0.5836394682255237,2025-02-25,2025-02-08,26.768634879634533,Severe,3,False
