lat,lon,magnitude,duration,severity,onset
24.424995,117.42499,-0.7892673,1,0.7892673,202502
24.424995,117.475006,-0.79829836,1,0.79829836,202502
24.424995,117.524994,-1.2365643,2,2.008336,202501
24.424995,117.57501,-1.2811701,2,2.0709734,202501
24.424995,117.625,-1.3318344,2,2.136657,202501
24.424995,117.67499,-1.2950354,2,2.1159286,202501
24.424995,117.725006,-1.3320488,2,2.1917877,202501
24.424995,117.774994,-1.4439238,2,2.2503245,202501
24.424995,117.82501,-1.446329,2,2.2628207,202501
24.424995,117.875,-1.4872303,2,2.2828581,202501
24.424995,118.225006,-1.6547763,2,2.5435889,202501
24.424995,118.32501,-1.6683961,2,2.5945492,202501
24.424995,118.42499,-1.7225705,2,2.6599965,202501
24.474998,116.875,-1.2757862,2,2.170507,202501
24.474998,116.92499,-1.330327,2,2.2237384,202501
24.474998,116.975006,-1.3453442,2,2.240696,202501
24.474998,117.024994,-0.8072397,1,0.8072397,202502
24.474998,117.07501,-0.83567226,1,0.83567226,202502
24.474998,117.125,-0.85964894,1,0.85964894,202502
24.474998,117.17499,-0.8514299,1,0.8514299,202502
24.474998,117.225006,-0.8576243,1,0.8576243,202502
24.474998,117.274994,-0.78043514,1,0.78043514,202502
24.474998,117.32501,-0.75450647,1,0.75450647,202502
24.474998,117.375,-0.7828322,1,0.7828322,202502
24.474998,117.42499,-0.80277085,1,0.80277085,202502
24.474998,117.475006,-0.8166621,1,0.8166621,202502
24.474998,117.524994,-1.1974995,2,1.999156,202501
24.474998,117.57501,-1.2181209,2,2.072464,202501
24.474998,117.625,-1.2488904,2,2.1084175,202501
24.474998,117.67499,-1.2879503,2,2.167423,202501
24.474998,117.725006,-1.3270078,2,2.196627,202501
24.474998,117.774994,-1.4458206,2,2.2554097,202501
24.474998,117.82501,-1.4743067,2,2.2849739,202501
24.474998,117.875,-1.4772633,2,2.279805,202501
24.474998,117.92499,-1.4866008,2,2.314672,202501
24.474998,117.975006,-1.522733,2,2.3842607,202501
24.474998,118.024994,-1.6034096,2,2.4483774,202501
24.474998,118.07501,-1.6081707,2,2.433722,202501
24.474998,118.125,-1.6365545,2,2.5027351,202501
24.474998,118.17499,-1.642768,2,2.51513,202501
24.474998,118.32501,-1.6878786,2,2.589141,202501
24.474998,118.42499,-1.6955242,2,2.61546,202501
24.524994,116.82501,-1.3319248,2,2.2769425,202501
24.524994,116.875,-1.3274328,2,2.2654276,202501
24.524994,116.92499,-1.4183534,2,2.3542457,202501
24.524994,116.975006,-1.4123442,2,2.3293548,202501
24.524994,117.024994,-1.3060086,2,2.1842482,202501
24.524994,117.07501,-1.3093671,2,2.212587,202501
24.524994,117.125,-1.3311541,2,2.2534428,202501
24.524994,117.17499,-1.3028432,2,2.2202842,202501
24.524994,117.225006,-1.3424911,2,2.2459946,202501
24.524994,117.274994,-1.3497856,2,2.2130353,202501
24.524994,117.32501,-1.3980452,2,2.2734535,202501
24.524994,117.375,-1.4168532,2,2.3271081,202501
