Site_ID,YearMonth,DroughtLevel,Target_n_hours,Normal_n_hours,Target_flag,Normal_flag,Pair_flag
95332221,2025-12,Severe,24,168,too_few_hours,ok,too_few_hours
95332221,2025-12,Extreme,0,168,too_few_hours,ok,too_few_hours
95332222,2025-01,Mild,0,0,too_few_hours,too_few_hours,too_few_hours
95332222,2025-01,Moderate,240,0,ok,too_few_hours,too_few_hours
95332222,2025-01,Severe,48,0,too_few_hours,too_few_hours,too_few_hours
95332222,2025-01,Extreme,0,0,too_few_hours,too_few_hours,too_few_hours
95332222,2025-02,Mild,456,48,ok,too_few_hours,too_few_hours
95332222,2025-02,Moderate,144,48,ok,too_few_hours,too_few_hours
95332222,2025-02,Severe,24,48,too_few_hours,too_few_hours,too_few_hours
95332222,2025-02,Extreme,0,48,too_few_hours,too_few_hours,too_few_hours
95332222,2025-03,Mild,0,264,too_few_hours,ok,too_few_hours
95332222,2025-03,Moderate,48,264,too_few_hours,ok,too_few_hours
95332222,2025-03,Severe,0,264,too_few_hours,ok,too_few_hours
95332222,2025-03,Extreme,0,264,too_few_hours,ok,too_few_hours
95332222,2025-04,Mild,288,432,ok,ok,ok
95332222,2025-04,Moderate,0,432,too_few_hours,ok,too_few_hours
95332222,2025-04,Severe,0,432,too_few_hours,ok,too_few_hours
95332222,2025-04,Extreme,0,432,too_few_hours,ok,too_few_hours
95332222,2025-05,Mild,144,528,ok,ok,ok
95332222,2025-05,Moderate,24,528,too_few_hours,ok,too_few_hours
95332222,2025-05,Severe,0,528,too_few_hours,ok,too_few_hours
95332222,2025-05,Extreme,0,528,too_few_hours,ok,too_few_hours
95332222,2025-06,Mild,144,456,ok,ok,ok
95332222,2025-06,Moderate,48,456,too_few_hours,ok,too_few_hours
95332222,2025-06,Severe,72,456,ok,ok,ok
95332222,2025-06,Extreme,0,456,too_few_hours,ok,too_few_hours
95332222,2025-07,Mild,120,336,ok,ok,ok
95332222,2025-07,Moderate,168,336,ok,ok,ok
95332222,2025-07,Severe,0,336,too_few_hours,ok,too_few_hours
95332222,2025-07,Extreme,0,336,too_few_hours,ok,too_few_hours
95332222,2025-08,Mild,192,120,ok,ok,ok
95332222,2025-08,Moderate,192,120,ok,ok,ok
95332222,2025-08,Severe,96,120,ok,ok,ok
95332222,2025-08,Extreme,0,120,too_few_hours,ok,too_few_hours
95332222,2025-09,Mild,216,360,ok,ok,ok
95332222,2025-09,Moderate,96,360,ok,ok,ok
95332222,2025-09,Severe,48,360,too_few_hours,ok,too_few_hours
95332222,2025-09,Extreme,0,360,too_few_hours,ok,too_few_hours
95332222,2025-10,Mild,0,360,too_few_hours,ok,too_few_hours
95332222,2025-10,Moderate,0,360,too_few_hours,ok,too_few_hours
95332222,2025-10,Severe,0,360,too_few_hours,ok,too_few_hours
95332222,2025-10,Extreme,0,360,too_few_hours,ok,too_few_hours
95332222,2025-11,Mild,0,240,too_few_hours,ok,too_few_hours
95332222,2025-11,Moderate,0,240,too_few_hours,ok,too_few_hours
95332222,2025-11,Severe,0,240,too_few_hours,ok,too_few_hours
95332222,2025-11,Extreme,0,240,too_few_hours,ok,too_few_hours
95332222,2025-12,Mild,280,168,ok,ok,ok
95332222,2025-12,Moderate,264,168,ok,ok,ok
95332222,2025-12,Severe,24,168,too_few_hours,ok,too_few_hours
95332222,2025-12,Extreme,0,168,too_few_hours,ok,too_few_hours
95332223,2025-01,Mild,0,0,too_few_hours,too_few_hours,too_few_hours
95332223,2025-01,Moderate,264,0,ok,too_few_hours,too_few_hours
95332223,2025-01,Severe,24,0,too_few_hours,too_few_hours,too_few_hours
95332223,2025-01,Extreme,0,0,too_few_hours,too_few_hours,too_few_hours
95332223,2025-02,Mild,504,72,ok,ok,ok
95332223,2025-02,Moderate,96,72,ok,ok,ok
95332223,2025-02,Severe,0,72,too_few_hours,ok,too_few_hours
95332223,2025-02,Extreme,0,72,too_few_hours,ok,too_few_hours
95332223,2025-03,Mild,0,240,too_few_hours,ok,too_few_hours
95332223,2025-03,Moderate,48,240,too_few_hours,ok,too_few_hours
95332223,2025-03,Severe,0,240,too_few_hours,ok,too_few_hours
95332223,2025-03,Extreme,0,240,too_few_hours,ok,too_few_hours
95332223,2025-04,Mild,192,408,ok,ok,ok
95332223,2025-04,Moderate,120,408,ok,ok,ok
95332223,2025-04,Severe,0,408,too_few_hours,ok,too_few_hours
95332223,2025-04,Extreme,0,408,too_few_hours,ok,too_few_hours
95332223,2025-05,Mild,168,528,ok,ok,ok
95332223,2025-05,Moderate,0,528,too_few_hours,ok,too_few_hours
95332223,2025-05,Severe,0,528,too_few_hours,ok,too_few_hours
95332223,2025-05,Extreme,0,528,too_few_hours,ok,too_few_hours
95332223,2025-06,Mild,144,408,ok,ok,ok
95332223,2025-06,Moderate,96,408,ok,ok,ok
95332223,2025-06,Severe,72,408,ok,ok,ok
95332223,2025-06,Extreme,0,408,too_few_hours,ok,too_few_hours
95332223,2025-07,Mild,168,312,ok,ok,ok
95332223,2025-07,Moderate,120,312,ok,ok,ok
95332223,2025-07,Severe,0,312,too_few_hours,ok,too_few_hours
95332223,2025-07,Extreme,0,312,too_few_hours,ok,too_few_hours
95332223,2025-08,Mild,216,120,ok,ok,ok
95332223,2025-08,Moderate,96,120,ok,ok,ok
95332223,2025-08,Severe,96,120,ok,ok,ok
95332223,2025-08,Extreme,0,120,too_few_hours,ok,too_few_hours
95332223,2025-09,Mild,168,336,ok,ok,ok
