Window_Days,Window_End_Relative_Day,Median_Delta_CBI,Q25_Delta_CBI,Q75_Delta_CBI,N_events,N_sites,N_windows
14,-22,0.0779260917061192,0.05466113195034028,0.10495374515400668,6,16,17
14,-21,0.08920679896656847,0.035533657146366276,0.13148100649759495,6,17,20
14,-20,0.06260771001556198,0.002476993723675436,0.11868336949265457,6,20,23
14,-19,0.07420798522285454,0.002401292391930543,0.1070547689866182,6,20,25
14,-18,0.07387242595020627,-0.0070275767565917135,0.11090448679515891,6,20,25
14,-17,0.07071708307475738,0.00392305521114987,0.11968515520884157,6,20,26
14,-16,0.06764654859551877,0.010766142357713504,0.11282136830021869,6,20,27
14,-15,0.0704267843586196,0.012731608020345508,0.1108943731136176,6,20,27
14,-14,0.05961545176220695,0.020019097985652434,0.11204478423842743,6,20,27
14,-13,0.06942611938056986,0.029497863475809266,0.12464985784984514,6,20,27
14,-12,0.06392792074231823,0.017676368251984015,0.11058198692449939,6,20,27
14,-11,0.05433314405896872,0.0045609401417703865,0.10344355847476383,6,20,27
14,-10,0.05490103428956905,-0.004317051386328291,0.10119541407494226,6,20,27
14,-9,0.06968441822488747,-0.0132558050623717,0.10785764697617195,6,20,27
14,-8,0.07382817046778412,-0.006008093012846383,0.10362852031737244,6,20,27
14,-7,0.06138495938789412,-0.014464620390280902,0.094039081459377,6,20,27
14,-6,0.05973410133488288,-0.014554391893656399,0.0997651254424832,6,20,27
14,-5,0.04908750469033185,-0.018561850113006317,0.11072449058802844,6,20,27
14,-4,0.06276157269021798,-0.017786533327342313,0.10948894694197642,6,20,27
14,-3,0.048179448808376435,-0.01150213468503905,0.10593908645408126,6,20,27
14,-2,0.04912936492906006,-0.014939789222299993,0.10687662983871582,6,20,27
14,-1,0.04854395401595879,-0.009960346399997766,0.12488275178549199,6,20,27
14,0,0.0563134931780368,-0.01695135659385577,0.13072156937009516,6,20,27
14,1,0.05032386270670369,-0.024289976548818093,0.125086750280277,6,20,27
14,2,0.0554191407495882,-0.027616701571405333,0.12358994365089274,6,20,27
14,3,0.05371337074184779,-0.030121314870573346,0.11972860158587498,6,20,27
14,4,0.0423349247024527,-0.024896774551891765,0.12121807493852513,6,20,27
14,5,0.03444256448524685,-0.02077365408595483,0.1110940215454208,6,20,27
14,6,0.02864033057025872,-0.015031985212648424,0.09919566178151876,6,20,27
14,7,0.013393406722876477,-0.020935440843751374,0.07764899747415824,6,20,27
14,8,0.00041758671040070805,-0.03135106032898255,0.06166695364016106,6,20,27
14,9,0.009243103129884078,-0.03002253189172155,0.05377205477478553,6,20,27
14,10,0.016899959128018005,-0.02956886254653976,0.055241861677286286,6,20,27
14,11,0.013899212270626626,-0.03976427356064924,0.04775041347973885,6,20,27
14,12,-0.0029038750376755296,-0.036142659111690345,0.02190708299653682,6,20,27
14,13,-0.011204080371401304,-0.04860982210355319,0.012814335727829584,6,20,27
14,14,-0.011468214774553953,-0.05367277699543327,0.0203007564755468,6,20,27
14,15,-0.013250674909844051,-0.05728196884165576,0.017076846243185284,6,20,27
14,16,-0.00856195620694844,-0.046735639219073366,0.014657826303473953,6,20,27
14,17,-0.011995740902061791,-0.04417547766084626,0.018709373302190968,6,20,27
14,18,-0.012197749044094819,-0.03681138942475781,0.011207765180400064,6,20,27
14,19,-0.01636230466866867,-0.05111152793673315,0.015505950010353153,6,20,27
14,20,-0.005201337830253283,-0.05540591843079934,0.028805948852628882,6,20,27
14,21,-0.006294537815832113,-0.047771649655465515,0.021024217006972323,6,20,27
14,22,0.00911619947712905,-0.03584568692778822,0.0354083492450504,6,20,27
14,23,0.022369262796199663,-0.039871593713234676,0.04535657309190694,6,20,27
14,24,0.030570187727358866,-0.05554665470585715,0.04363155351729675,6,20,27
14,25,0.026353182279562848,-0.04144507128084496,0.06134520831708823,6,20,27
14,26,0.03295278784588496,-0.03898802058878009,0.07356609382878804,6,20,27
14,27,0.019402569943893555,-0.012931024602789554,0.08260431489336673,6,20,27
14,28,0.029335559280146306,-0.0037345909207940897,0.08249259464640268,6,20,27
14,29,0.04967494602679157,-0.000688558523824101,0.08768770186589914,6,20,27
14,30,0.04085166803631157,-0.0024049351193976554,0.10589553582350486,6,20,27
