ScenarioID,Site_ID,Event_ID,Event_Start_Date,Event_End_Date,Duration_Days,Minimum_SPI,Stage,Stage_Label,Window_Type,Window_Start,Window_End,Window_Days,Window_End_Relative_Day,Reference_CBI,Reference_Flag,Pair_Flag,Window_CBI,Window_Intercept,Window_R2,Window_n_hours,Window_MacroSD,Window_Flag,Delta_CBI
BASE,95332221,7,2025-08-12,2025-09-09,29,-2.27681040763855,R08_14,结束后8-14天,recovery,2025-09-17,2025-09-23,7,14.0,0.5523579817957966,ok,ok,0.49285273945341146,12.110485889827135,0.8133970708459028,168,2.9584104989437674,ok,-0.05950524234238519
BASE,95332221,7,2025-08-12,2025-09-09,29,-2.27681040763855,R15_30,结束后15-30天,recovery,2025-09-24,2025-10-09,16,30.0,0.5523579817957966,ok,ok,0.5972489323754597,8.511202136574536,0.8222474779509252,384,3.396278465451891,ok,0.04489095057966308
BASE,95332225,7,2025-08-12,2025-09-23,43,-2.157047986984253,FullEvent,完整事件,event_reproduction,2025-08-12,2025-09-23,43,,0.9694508657350772,ok,ok,1.016864964352977,-0.22901299337921444,0.7549028089320998,1032,3.2438553809083768,ok,0.0474140986178998
BASE,95332225,7,2025-08-12,2025-09-23,43,-2.157047986984253,Early,事件前段,event_phase,2025-08-12,2025-08-26,15,,0.9694508657350772,ok,ok,1.0733992942601736,-1.7382729312376668,0.7477681354844948,360,3.2378834171118966,ok,0.10394842852509634
BASE,95332225,7,2025-08-12,2025-09-23,43,-2.157047986984253,Middle,事件中段,event_phase,2025-08-27,2025-09-09,14,,0.9694508657350772,ok,ok,1.007770155219162,-0.461705892528137,0.7721776381504118,336,3.277081520996295,ok,0.038319289484084806
BASE,95332225,7,2025-08-12,2025-09-23,43,-2.157047986984253,Late,事件后段,event_phase,2025-09-10,2025-09-23,14,,0.9694508657350772,ok,ok,1.025764358913114,0.01380664544646848,0.7827008050894149,336,3.0912904552626106,ok,0.0563134931780368
BASE,95332225,7,2025-08-12,2025-09-23,43,-2.157047986984253,R01_07,结束后1-7天,recovery,2025-09-24,2025-09-30,7,7.0,0.9694508657350772,ok,ok,0.987599334999343,0.08471683244333761,0.7633264864310886,168,3.113382266962227,ok,0.018148469264265832
BASE,95332225,7,2025-08-12,2025-09-23,43,-2.157047986984253,R08_14,结束后8-14天,recovery,2025-10-01,2025-10-07,7,14.0,0.9694508657350772,ok,ok,1.0396935116049344,-1.5869026557065276,0.7807223588274507,168,3.3326591537985673,ok,0.07024264586985718
BASE,95332225,7,2025-08-12,2025-09-23,43,-2.157047986984253,R15_30,结束后15-30天,recovery,2025-10-08,2025-10-23,16,30.0,0.9694508657350772,ok,ok,0.8784659788736691,2.8252054092380554,0.9051857092127341,384,5.8535898411595255,ok,-0.09098488686140815
BASE,95332226,5,2025-08-07,2025-09-18,43,-2.204885721206665,FullEvent,完整事件,event_reproduction,2025-08-07,2025-09-18,43,,0.43026412692191296,ok,ok,0.4348817339627502,12.69866826682354,0.6814936804534691,1032,3.257106372315691,ok,0.004617607040837246
BASE,95332226,5,2025-08-07,2025-09-18,43,-2.204885721206665,Early,事件前段,event_phase,2025-08-07,2025-08-21,15,,0.43026412692191296,ok,ok,0.43561553786802854,12.665749555291896,0.6550413537834318,360,3.1606052481570437,ok,0.005351410946115576
BASE,95332226,5,2025-08-07,2025-09-18,43,-2.204885721206665,Middle,事件中段,event_phase,2025-08-22,2025-09-04,14,,0.43026412692191296,ok,ok,0.4244546621563737,12.70754688333587,0.6907455525972335,336,3.3711177854610463,ok,-0.005809464765539285
BASE,95332226,5,2025-08-07,2025-09-18,43,-2.204885721206665,Late,事件后段,event_phase,2025-09-05,2025-09-18,14,,0.43026412692191296,ok,ok,0.4346428791912126,12.997963387892343,0.7258856830514792,336,3.207012705316552,ok,0.004378752269299624
BASE,95332226,5,2025-08-07,2025-09-18,43,-2.204885721206665,R01_07,结束后1-7天,recovery,2025-09-19,2025-09-25,7,7.0,0.43026412692191296,ok,ok,0.3592427213508958,14.891386150026355,0.618278875606373,168,2.8745534997445272,ok,-0.07102140557101716
BASE,95332226,5,2025-08-07,2025-09-18,43,-2.204885721206665,R08_14,结束后8-14天,recovery,2025-09-26,2025-10-02,7,14.0,0.43026412692191296,ok,ok,0.3515421248224287,14.868466669675213,0.6226689360773003,168,3.2063522389404913,ok,-0.07872200209948427
BASE,95332226,5,2025-08-07,2025-09-18,43,-2.204885721206665,R15_30,结束后15-30天,recovery,2025-10-03,2025-10-18,16,30.0,0.43026412692191296,ok,ok,0.49581991533175784,10.940456681960779,0.8342257791465628,384,3.9053615432577007,ok,0.06555578840984488
BASE,95332227,6,2025-08-11,2025-09-23,44,-2.481644868850708,FullEvent,完整事件,event_reproduction,2025-08-11,2025-09-23,44,,0.6607071912776324,ok,ok,0.5236894012669755,10.421214319536876,0.7013278573815738,1056,3.335793642499528,ok,-0.13701779001065695
BASE,95332227,6,2025-08-11,2025-09-23,44,-2.481644868850708,Early,事件前段,event_phase,2025-08-11,2025-08-25,15,,0.6607071912776324,ok,ok,0.5271679628364574,10.370794288922994,0.654371676148229,360,3.3037566538526186,ok,-0.13353922844117505
BASE,95332227,6,2025-08-11,2025-09-23,44,-2.481644868850708,Middle,事件中段,event_phase,2025-08-26,2025-09-09,15,,0.6607071912776324,ok,ok,0.49205576061812145,11.135552822254422,0.6668947051175855,360,3.352024079197907,ok,-0.168651430659511
BASE,95332227,6,2025-08-11,2025-09-23,44,-2.481644868850708,Late,事件后段,event_phase,2025-09-10,2025-09-23,14,,0.6607071912776324,ok,ok,0.5716634421042105,9.2686596529042,0.8058561050885023,336,3.252008400858533,ok,-0.08904374917342195
BASE,95332227,6,2025-08-11,2025-09-23,44,-2.481644868850708,R01_07,结束后1-7天,recovery,2025-09-24,2025-09-30,7,7.0,0.6607071912776324,ok,ok,0.4579032920602133,11.791452370866544,0.6773438133459245,168,3.310543084720256,ok,-0.20280389921741915
BASE,95332227,6,2025-08-11,2025-09-23,44,-2.481644868850708,R08_14,结束后8-14天,recovery,2025-10-01,2025-10-07,7,14.0,0.6607071912776324,ok,ok,0.5369943875456987,10.186778892004495,0.8547948538190703,168,3.4684630068708273,ok,-0.12371280373193372
BASE,95332227,6,2025-08-11,2025-09-23,44,-2.481644868850708,R15_30,结束后15-30天,recovery,2025-10-08,2025-10-23,16,30.0,0.6607071912776324,ok,ok,0.7335819340445718,4.241278744677988,0.9387412356432865,384,6.2151780911321595,ok,0.0728747427669394
BASE,95332228,6,2025-08-12,2025-09-12,32,-2.336613178253174,FullEvent,完整事件,event_reproduction,2025-08-12,2025-09-12,32,,0.8817003381317174,ok,ok,0.8183495111772902,4.364442325013208,0.791879963328582,768,3.4261989829716013,ok,-0.06335082695442729
