Site_ID,YearMonth,Month,Target_Class,Target_CBI,Target_n_hours_recomputed,Target_Macro_SD_recomputed,Normal_CBI,Normal_n_hours_recomputed,Normal_Macro_SD_recomputed,Delta_CBI,Target_Class_CN,Target_n_hours,Normal_n_hours_for_pair,Target_Macro_SD,Normal_Macro_SD_for_pair,Pass_Hours,Pass_Target_Macro_SD,Pass_Normal_Macro_SD,Pass_Hours_Plus_Macro_SD
95332232,2025-05,5,Mild,0.8049576166856853,192,3.8491458061299735,0.8195479804705746,216,3.5147161242569096,-0.014590363784889315,轻度干旱,192,216,3.849145806129973,3.5147161242569096,True,True,True,True
95332232,2025-06,6,Mild,0.535856202787731,168,2.9667665188731873,0.6920295798049328,360,2.917802540319348,-0.1561733770172018,轻度干旱,168,360,2.9667665188731878,2.9178025403193466,True,True,True,True
95332232,2025-07,7,Mild,0.5289391103383884,96,1.4215096814664747,0.54594777369267,192,2.4227783171505535,-0.01700866335428164,轻度干旱,96,192,1.4215096814664738,2.422778317150553,True,True,True,True
95332232,2025-08,8,Mild,0.6615361087499322,144,3.2804841030380256,0.6967377197808513,336,3.2421336055457606,-0.03520161103091912,轻度干旱,144,336,3.2804841030380256,3.242133605545761,True,True,True,True
95332232,2025-09,9,Mild,0.6149033812749941,312,2.886016065556783,0.636958207889724,264,2.5986745547490577,-0.022054826614729905,轻度干旱,312,264,2.8860160655567846,2.5986745547490577,True,True,True,True
95332232,2025-11,11,Mild,0.7687844748925065,168,5.191259549741511,0.9605315151393162,432,5.088052544197057,-0.19174704024680977,轻度干旱,168,432,5.191259549741516,5.088052544197064,True,True,True,True
95332233,2025-05,5,Mild,0.6897329995711586,240,3.620282881990096,0.7031409141250623,360,3.2897055015824055,-0.013407914553903666,轻度干旱,240,360,3.620282881990096,3.2897055015824037,True,True,True,True
95332233,2025-07,7,Mild,0.47496481672282875,72,1.3234391604832014,0.6136008122412813,216,2.2954158309289374,-0.13863599551845252,轻度干旱,72,216,1.3234391604832012,2.295415830928935,True,True,True,True
95332233,2025-08,8,Mild,0.7015371890246439,264,3.228368186457441,0.6068822866982959,168,3.152271239247587,0.09465490232634799,轻度干旱,264,168,3.228368186457442,3.152271239247586,True,True,True,True
95332233,2025-09,9,Mild,0.662519968321699,168,2.874269218292644,0.6304635691317741,336,2.5639426082251755,0.03205639918992487,轻度干旱,168,336,2.874269218292643,2.5639426082251764,True,True,True,True
95332233,2025-11,11,Mild,0.9277318628426559,96,4.593528878093478,0.9150144013569631,576,4.510765546420811,0.01271746148569275,轻度干旱,96,576,4.593528878093476,4.510765546420814,True,True,True,True
95332234,2025-04,4,Mild,0.8502485879920633,216,4.156969740748336,0.8813083065298717,192,4.386645905751057,-0.031059718537808423,轻度干旱,216,192,4.156969740748336,4.386645905751053,True,True,True,True
95332234,2025-05,5,Mild,0.7855244473569041,264,2.37543972433248,0.7857852752905078,360,3.7664262922613245,-0.00026082793360371337,轻度干旱,264,360,2.3754397243324803,3.766426292261325,True,True,True,True
95332234,2025-06,6,Mild,0.7036025302001573,552,2.636879183021212,0.9087633696605957,72,2.3916721203223745,-0.2051608394604384,轻度干旱,552,72,2.636879183021214,2.391672120322374,True,True,True,True
95332234,2025-07,7,Mild,0.5700194241979488,192,2.749094699520841,0.5877853579171078,288,2.540488236748961,-0.01776593371915902,轻度干旱,192,288,2.7490946995208403,2.5404882367489607,True,True,True,True
95332234,2025-08,8,Mild,0.638681508607001,72,2.965746334802895,0.612311583211628,336,3.0155609706199584,0.026369925395372973,轻度干旱,72,336,2.965746334802895,3.015560970619957,True,True,True,True
95332234,2025-11,11,Mild,0.787628700083383,408,5.554050254619368,0.6865212841755575,312,3.987916083332033,0.10110741590782557,轻度干旱,408,312,5.554050254619363,3.987916083332035,True,True,True,True
95332235,2025-04,4,Mild,0.6870047617822794,72,2.5923542574197835,0.7872179359193673,240,4.585202034731905,-0.10021317413708786,轻度干旱,72,240,2.592354257419784,4.585202034731904,True,True,True,True
95332235,2025-05,5,Mild,0.6631762868361966,144,3.344777291619601,0.7546159152286335,600,3.2969700008652616,-0.09143962839243691,轻度干旱,144,600,3.344777291619601,3.2969700008652647,True,True,True,True
95332235,2025-06,6,Mild,0.6909198244227396,240,2.875517052189808,0.6228226183929223,384,2.5173414767880113,0.06809720602981728,轻度干旱,240,384,2.8755170521898084,2.5173414767880096,True,True,True,True
95332235,2025-07,7,Mild,0.6523314454289043,360,2.7643153663330295,0.6312415443895384,240,2.5652226968663405,0.02108990103936592,轻度干旱,360,240,2.764315366333028,2.56522269686634,True,True,True,True
95332235,2025-08,8,Mild,0.6573311749200985,72,3.028785822278894,0.6180096602562292,672,2.8762985400325043,0.03932151466386935,轻度干旱,72,672,3.028785822278894,2.876298540032502,True,True,True,True
95332235,2025-09,9,Mild,0.42115181454782763,72,2.304052294621011,0.49820599749272304,576,3.17517960696033,-0.07705418294489541,轻度干旱,72,576,2.304052294621012,3.1751796069603317,True,True,True,True
95332235,2025-11,11,Mild,0.5406337011026863,120,4.994896647441685,0.749947094554048,528,5.324187779041236,-0.20931339345136168,轻度干旱,120,528,4.994896647441685,5.324187779041234,True,True,True,True
95332235,2025-12,12,Mild,0.6296069892587486,184,4.989550804756971,0.5957574068597554,528,4.986989447619979,0.03384958239899316,轻度干旱,184,528,4.989550804756968,4.986989447619978,True,True,True,True
95332236,2025-04,4,Mild,0.956295117480762,120,2.568140354328819,1.0645085748929999,192,4.353914821140031,-0.10821345741223787,轻度干旱,120,192,2.568140354328818,4.353914821140031,True,True,True,True
