AnalysisLayer,EvidenceChain,ScenarioID,Site_ID,Event_ID,Start_Date,End_Date,Duration_Days,Minimum_SPI,Drought_Level,Severity,Edge_Truncated,Reference_Search_Start,Reference_Search_End,Reference_Target_Days,Reference_Selected_Days,Event_MacroSD_Threshold,Event_CBI,Event_n_hours,Event_MacroSD,Event_Flag,Reference_CBI,Reference_n_hours,Reference_MacroSD,Reference_Flag,Delta_CBI,Pair_Flag,Event_ID_Robustness,Min_Daily_SPI
Hourly_state,Event_reference,E15,95332223,1.0,2025-01-01,2025-02-05,36,-1.563310623168945,Severe,41.27206212282181,True,2025-02-07,2025-03-08,30,6,,0.7633342704372382,408,4.8655311044129945,ok,0.6521958184301488,144,2.6613077383126,ok,0.11113845200708938,ok,,
Hourly_state,Event_reference,E15,95332223,6.0,2025-06-18,2025-07-12,25,-1.743588924407959,Severe,25.719527900218964,False,2025-07-14,2025-08-12,25,15,,0.5787062570609413,600,3.513299713923512,ok,0.6512522575840488,360,2.6449641008930223,ok,-0.07254600052310756,ok,,
Hourly_state,Event_reference,E15,95332223,7.0,2025-08-15,2025-09-12,29,-1.6291897296905518,Severe,30.679704070091248,False,2025-09-14,2025-10-13,29,23,,0.5765249567047325,696,3.2759670161978405,ok,0.5386518362664521,552,3.4597440998621525,ok,0.037873120438280394,ok,,
Hourly_state,Event_reference,E15,95332223,9.0,2025-12-22,2025-12-31,10,-1.5551509857177734,Severe,8.206154108047485,True,2026-01-02,2026-01-31,10,0,,0.8305452878607436,232,4.384755170389807,ok,,0,,insufficient_hours,,event=ok;reference=insufficient_hours,,
Hourly_state,Event_reference,E15,95332224,1.0,2025-01-01,2025-02-21,52,-1.5576733350753784,Severe,53.34167152643204,True,2025-02-23,2025-03-24,30,6,,0.7947752547521941,792,4.5780868635608964,ok,0.8729313534652905,144,5.16689938583745,ok,-0.07815609871309637,ok,,
Hourly_state,Event_reference,E15,95332224,5.0,2025-06-21,2025-07-12,22,-1.565237283706665,Severe,24.631660521030422,False,2025-07-14,2025-08-12,22,14,,0.842376112858302,528,3.4791488318725516,ok,0.8886320054696736,336,2.5244707159517863,ok,-0.04625589261137153,ok,,
Hourly_state,Event_reference,E15,95332224,7.0,2025-08-25,2025-09-12,19,-1.5297867059707642,Severe,21.86993056535721,False,2025-09-14,2025-10-13,19,19,,0.812335666672086,456,3.2180667856357554,ok,0.7395809283812151,456,3.1345857741120278,ok,0.07275473829087087,ok,,
Hourly_state,Event_reference,E15,95332224,8.0,2025-12-11,2025-12-31,21,-1.5555731058120728,Severe,21.027605533599854,True,2026-01-02,2026-01-31,21,0,,0.755797991670307,496,4.5419221117315125,ok,,0,,insufficient_hours,,event=ok;reference=insufficient_hours,,
Hourly_state,Event_reference,E15,95332225,1.0,2025-01-01,2025-02-05,36,-1.803107976913452,Severe,48.9773890376091,True,2025-02-07,2025-03-08,30,12,,0.7760204143793973,408,4.724261316554796,ok,0.8557562731355555,288,4.226864990703879,ok,-0.07973585875615818,ok,,
Hourly_state,Event_reference,E15,95332225,7.0,2025-08-12,2025-09-23,43,-2.157047986984253,Extreme,59.29728865623474,False,2025-09-25,2025-10-24,30,21,,1.016864964352977,1032,3.2438553809083768,ok,0.9694508657350772,504,4.087806445410243,ok,0.0474140986178998,ok,,
