AnalysisLayer,EvidenceChain,Site_ID,YearMonth,Extreme,Normal,Delta_CBI,ScenarioID
Hourly_state,SiteMonth_CBI,95332228,2025-08,0.8215326484452593,0.7008623060103245,0.1206703424349348,N025
Hourly_state,SiteMonth_CBI,95332228,2025-09,0.8623524436916437,0.7593666112235324,0.10298583246811122,N025
Hourly_state,SiteMonth_CBI,95332230,2025-08,0.8004844924107887,0.7921481710678016,0.008336321342987119,N025
Hourly_state,SiteMonth_CBI,95332230,2025-09,0.8381246702883624,0.7181226819709166,0.1200019883174458,N025
Hourly_state,SiteMonth_CBI,95332231,2025-08,0.44178953714833064,0.4568902240582876,-0.015100686909956973,N025
Hourly_state,SiteMonth_CBI,95332235,2025-04,0.8957165365516356,0.7872179359193673,0.10849860063226835,N025
Hourly_state,SiteMonth_CBI,95332236,2025-04,0.9584271586366331,1.0443281751274969,-0.08590101649086379,N025
Hourly_state,SiteMonth_CBI,95332242,2025-09,0.6635965021534768,0.4758286420248962,0.18776786012858054,N025
Hourly_state,SiteMonth_CBI,95332244,2025-04,0.8675404239533564,0.7369705360500645,0.13056988790329194,N025
Hourly_state,SiteMonth_CBI,95332217,2025-04,0.7316531667362092,0.7374801027974093,-0.005826936061200105,N075
Hourly_state,SiteMonth_CBI,95332220,2025-04,0.7712544231136718,0.8690202228018031,-0.09776579968813137,N075
Hourly_state,SiteMonth_CBI,95332221,2025-08,0.5854591507492887,0.6036826759237461,-0.018223525174457467,N075
Hourly_state,SiteMonth_CBI,95332225,2025-08,1.0865459811473344,1.0577114671795032,0.02883451396783121,N075
Hourly_state,SiteMonth_CBI,95332226,2025-09,0.3613920177025561,0.38155831727870676,-0.02016629957615068,N075
Hourly_state,SiteMonth_CBI,95332227,2025-08,0.4940577371966119,0.5359391988284413,-0.04188146163182943,N075
Hourly_state,SiteMonth_CBI,95332227,2025-09,0.4743797266232594,0.4474545377441989,0.02692518887906048,N075
Hourly_state,SiteMonth_CBI,95332228,2025-08,0.8215326484452593,0.7216042162649055,0.09992843218035385,N075
Hourly_state,SiteMonth_CBI,95332228,2025-09,0.8623524436916437,0.7737374589822099,0.08861498470943374,N075
Hourly_state,SiteMonth_CBI,95332230,2025-08,0.8004844924107887,0.8162064555656877,-0.015721963154899044,N075
Hourly_state,SiteMonth_CBI,95332230,2025-09,0.8381246702883624,0.7576756056498277,0.08044906463853463,N075
Hourly_state,SiteMonth_CBI,95332231,2025-08,0.44178953714833064,0.4371477375880645,0.004641799560266113,N075
Hourly_state,SiteMonth_CBI,95332235,2025-04,0.8957165365516356,0.7857727306891515,0.10994380586248409,N075
Hourly_state,SiteMonth_CBI,95332236,2025-04,0.9584271586366331,1.0386108313962934,-0.08018367275966032,N075
Hourly_state,SiteMonth_CBI,95332242,2025-09,0.6635965021534768,0.5192297972233781,0.14436670493009862,N075
Hourly_state,SiteMonth_CBI,95332244,2025-04,0.8675404239533564,0.7348031704219812,0.13273725353137522,N075
Hourly_state,SiteMonth_CBI,95332217,2025-04,0.7316531667362092,0.7253490726476483,0.006304094088560919,N10
Hourly_state,SiteMonth_CBI,95332220,2025-04,0.7712544231136718,0.8518651124630312,-0.08061068934935944,N10
Hourly_state,SiteMonth_CBI,95332221,2025-08,0.5854591507492887,0.5897611277186314,-0.004301976969342758,N10
Hourly_state,SiteMonth_CBI,95332225,2025-08,1.0865459811473344,1.0577114671795032,0.02883451396783121,N10
Hourly_state,SiteMonth_CBI,95332226,2025-09,0.3613920177025561,0.38155831727870676,-0.02016629957615068,N10
Hourly_state,SiteMonth_CBI,95332227,2025-08,0.4940577371966119,0.5359391988284413,-0.04188146163182943,N10
Hourly_state,SiteMonth_CBI,95332227,2025-09,0.4743797266232594,0.5117651010667282,-0.037385374443468844,N10
Hourly_state,SiteMonth_CBI,95332228,2025-08,0.8215326484452593,0.7216042162649055,0.09992843218035385,N10
Hourly_state,SiteMonth_CBI,95332228,2025-09,0.8623524436916437,0.7737374589822099,0.08861498470943374,N10
Hourly_state,SiteMonth_CBI,95332230,2025-08,0.8004844924107887,0.8193727754725851,-0.018888283061796463,N10
Hourly_state,SiteMonth_CBI,95332230,2025-09,0.8381246702883624,0.7576756056498277,0.08044906463853463,N10
Hourly_state,SiteMonth_CBI,95332231,2025-08,0.44178953714833064,0.4371477375880645,0.004641799560266113,N10
Hourly_state,SiteMonth_CBI,95332235,2025-04,0.8957165365516356,0.7879984537451024,0.10771808280653328,N10
Hourly_state,SiteMonth_CBI,95332236,2025-04,0.9584271586366331,1.0386108313962934,-0.08018367275966032,N10
Hourly_state,SiteMonth_CBI,95332242,2025-09,0.6635965021534768,0.5291040204045792,0.1344924817488976,N10
