AnalysisLayer,EvidenceChain,ScenarioID,ScenarioGroup,Site_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Severity,Drought_Level,Edge_Truncated,Is_Extreme_Event,Event_ID_Robustness
Event_definition,Event_definition,BASE,Baseline,95332230,2025-02-23,2025-03-02,8,-1.212321758270264,-0.8263102769851685,2025-02-28,8.59898066520691,Moderate,False,False,3
Event_definition,Event_definition,BASE,Baseline,95332230,2025-04-13,2025-04-18,6,-1.19656240940094,-1.137719750404358,2025-04-13,6.990978717803955,Moderate,False,False,4
Event_definition,Event_definition,BASE,Baseline,95332230,2025-06-21,2025-07-20,30,-1.696230173110962,-0.8429895043373108,2025-06-29,35.05009788274765,Severe,False,False,5
Event_definition,Event_definition,BASE,Baseline,95332230,2025-08-12,2025-09-17,37,-2.39896559715271,-0.5497655868530273,2025-09-03,58.648909509181976,Extreme,False,True,6
Event_definition,Event_definition,BASE,Baseline,95332230,2025-12-10,2025-12-31,22,-1.339637756347656,-0.7499579191207886,2025-12-30,22.324649810791016,Moderate,True,False,7
Event_definition,Event_definition,BASE,Baseline,95332231,2025-01-01,2025-02-05,36,-1.88142454624176,-0.8198229670524597,2025-01-08,45.48811101913452,Severe,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332231,2025-02-08,2025-03-02,23,-1.114038228988647,-0.5478241443634033,2025-02-19,20.128031969070435,Moderate,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332231,2025-04-13,2025-04-18,6,-0.734399676322937,-0.5645022392272949,2025-04-13,3.7356030344963074,Light,False,False,3
Event_definition,Event_definition,BASE,Baseline,95332231,2025-06-21,2025-07-12,22,-1.586986780166626,-0.6239333748817444,2025-06-30,24.265007734298706,Severe,False,False,4
Event_definition,Event_definition,BASE,Baseline,95332231,2025-08-11,2025-09-18,39,-2.299917221069336,-0.7020151615142822,2025-08-29,55.17359781265259,Extreme,False,True,5
Event_definition,Event_definition,BASE,Baseline,95332231,2025-12-02,2025-12-31,30,-1.556900501251221,-0.5917344689369202,2025-12-04,30.76927125453949,Severe,True,False,6
Event_definition,Event_definition,BASE,Baseline,95332232,2025-01-01,2025-01-08,8,-1.441704869270325,-0.7563091516494751,2025-01-01,7.9080599546432495,Moderate,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332232,2025-01-17,2025-02-05,20,-1.929625511169434,-0.5116132497787476,2025-02-05,22.923658192157745,Severe,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332232,2025-02-07,2025-03-02,24,-1.875718355178833,-0.5025370121002197,2025-02-25,27.2657613158226,Severe,False,False,3
Event_definition,Event_definition,BASE,Baseline,95332232,2025-04-02,2025-04-08,7,-1.520478248596191,-1.078733682632446,2025-04-03,9.19094657897949,Severe,False,False,4
Event_definition,Event_definition,BASE,Baseline,95332232,2025-05-19,2025-05-28,10,-1.709559679031372,-0.5177817344665527,2025-05-20,11.284847676753998,Severe,False,False,5
Event_definition,Event_definition,BASE,Baseline,95332232,2025-06-21,2025-07-12,22,-1.868388175964355,-0.5164291858673096,2025-06-28,27.169841527938843,Severe,False,False,6
Event_definition,Event_definition,BASE,Baseline,95332232,2025-08-26,2025-09-13,19,-1.288020014762878,-0.5105921030044556,2025-08-30,16.278998613357544,Moderate,False,False,7
Event_definition,Event_definition,BASE,Baseline,95332232,2025-11-14,2025-11-20,7,-0.6692838668823242,-0.5584777593612671,2025-11-16,4.302095293998718,Light,False,False,8
Event_definition,Event_definition,BASE,Baseline,95332233,2025-01-01,2025-01-08,8,-1.441768169403076,-0.7239834070205688,2025-01-01,7.752256512641907,Moderate,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332233,2025-01-17,2025-02-05,20,-1.828233361244202,-0.5067180395126343,2025-02-05,22.433974504470825,Severe,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332233,2025-02-08,2025-03-02,23,-1.719289183616638,-0.6901434063911438,2025-02-25,25.044241905212402,Severe,False,False,3
Event_definition,Event_definition,BASE,Baseline,95332233,2025-04-02,2025-04-08,7,-1.487869262695312,-0.9749058485031128,2025-04-02,8.43896186351776,Moderate,False,False,4
